АТС;Линейно-технический цех ОАО Ростелеком;;60 лет ВЛКСМ, 3;;;83467732477;;;;;;;;;;;;;;;;;;;;;;;
Бытовая химия - продажа;Дом маркет, Магазин товаров для дома и сада;;Титова 34, 2;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Бытовая химия - продажа;Стиль+, Магазин бытовой химии;;Титова, 14;;;83467741046;;;;;;;;;;;;;;;;;;;;;;;
Бытовая химия - продажа;Товары для дома и сада;;Титова, 26;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Бытовая химия - продажа;Магнит Косметик, сеть магазинов;;Титова, 9;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Бюро технической инвентаризации (БТИ);Кондинский производственный участок;;Первомайская, 232;;;83467734350;;;;;;;;;;;;;;;;;;;;;;;
Велосипеды;Эльдорадо, Магазин бытовой техники;;Титова, 34;;;83467741424;;;;;;;;;;;;;;;;;;;;;;;
Велосипеды;Фортуна, Магазин стройматериалов;;Титова, 32;;;83467732061;;;;;;;;;;;;;;;;;;;;;;;
Велосипеды;Товары для спорта и отдыха;;Ленина, 11;;;83467742009;;;;;;;;;;;;;;;;;;;;;;;
Велосипеды;Сапфир, Магазин хозтоваров;;Толстого, 242;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Ветеринарные клиники;Ветеринарная клиника;;Кедровая, 14;8(34677)33-111;;89526946152;;;;;;;;;;;;;;;;;;;;;;;
Видеонаблюдение - продажа;StelCom2;Ремонт бытовой техники;Набережная, 45;8(34677)41-271;;89220720520;;;;;;;;;;;;;;;;;;;;;;;
Видеонаблюдение - продажа;Спец ТВ;;Днепропетровская, 1 - Б;;;83467741617;;;;;;;;;;;;;;;;;;;;;;;
Видеонаблюдение - продажа;Сервисный центр КиберЛэнд;;Титова 34 (Эльдорадо 2 этаж);;;89044684615;;;;;;;;;;;;;;;;;;;;100;;https://dl.dropboxusercontent.com/s/665ejhswg3pyls0/%D0%9F%D0%9F%20-%20mid.jpg?dl=0;
Водопровод и канализация;Междуреченские коммунальные системы;;Сибирская, 109;;;83467741756;;;;;;;;;;;;;;;;;;;;;;;
